Date,GCM,Deficit in, AET in, soil_water in, runoff in, rain in, accumswe in, PET in 
1979-01-01,gridmet.historical,0.0,0.015748031496062995,1.7125984251968505,0.0,0.0,0.0,0.015748031496062995
1979-01-02,gridmet.historical,0.0,0.007874015748031498,1.704724409448819,0.0,0.0,0.0,0.007874015748031498
1979-01-03,gridmet.historical,0.0,0.01968503937007874,1.68503937007874,0.0,0.0,0.0,0.01968503937007874
1979-01-04,gridmet.historical,0.0,0.03543307086614173,1.6496062992125984,0.0,0.0,0.0,0.03543307086614173
1979-01-05,gridmet.historical,0.0,0.03937007874015748,1.7007874015748035,0.0,0.08661417322834647,0.0,0.03937007874015748
1979-01-06,gridmet.historical,0.0,0.0,1.7283464566929134,0.0905511811023622,0.11811023622047245,0.06692913385826772,0.0
1979-01-07,gridmet.historical,0.0,0.03149606299212599,1.7283464566929134,0.03543307086614173,0.0,0.0,0.03149606299212599
1979-01-08,gridmet.historical,0.0,0.03149606299212599,1.6968503937007875,0.0,0.0,0.0,0.03149606299212599
1979-01-09,gridmet.historical,0.0,0.03149606299212599,1.6692913385826773,0.0,0.0,0.0,0.03149606299212599
1979-01-10,gridmet.historical,0.0,0.0,1.7086614173228347,0.0,0.03937007874015748,0.01968503937007874,0.0
1979-01-11,gridmet.historical,0.0,0.03149606299212599,1.6968503937007875,0.0,0.0,0.0,0.03149606299212599
1979-01-12,gridmet.historical,0.0,0.03543307086614173,1.65748031496063,0.0,0.0,0.0,0.03937007874015748
1979-01-13,gridmet.historical,0.0,0.023622047244094488,1.6338582677165354,0.0,0.0,0.0,0.027559055118110236
1979-01-14,gridmet.historical,0.0,0.023622047244094488,1.610236220472441,0.0,0.0,0.0,0.027559055118110236
1979-01-15,gridmet.historical,0.0,0.0,1.673228346456693,0.0,0.06299212598425198,0.003937007874015749,0.0
1979-01-16,gridmet.historical,0.0,0.0,1.7283464566929134,0.03543307086614173,0.0905511811023622,0.003937007874015749,0.0
1979-01-17,gridmet.historical,0.0,0.03543307086614173,1.7283464566929134,0.7125984251968505,0.7440944881889764,0.0,0.03543307086614173
